vendorId,centralVendorId,vendorName,vendorItemCode,vendorItemId,centralVendorItemId,vendorItemName,companyConceptProductId,productName
3202479,379112775,ACS Beverage Co.,845135,3203488,512809949,Kilinga Blanco Bacanora,846608841,Kilinga Bacanora Blanco Tequila
3202479,379112775,ACS Beverage Co.,,3203492,609436291,Bottle Deposit - Wine (.10),662166415,Bottle Deposit - Wine
