categoryId,categoryName,categoryType,accountingCode
1172,Accounting & Bookkeeping,OTHER,6505
1075,Advertising,OTHER,6260
1081,Bank Charges & Fees,OTHER,6560
1099,Bar Groceries,LIQUOR,5116
1069,Bar Smallwares,OTHER,6155
1095,Beer,BEER,5110
1867249,BOH Labor,LABOR,5209
1131,Bottled Beer,BEER,5112
1055,Bread,FOOD,5105
47845,CAM,OTHER,7106
1123,Charity & Donations,OTHER,6545
1061,Cleaning Services,OTHER,6120
1137,Cleaning Supplies,OTHER,6115
4166,Consumables,OTHER,6125
1093,Dairy,FOOD,5106
1063,Decorations,OTHER,6130
1869031,Design and Production,OTHER,6515
47558,Distributions,OTHER,3205
1157,Draught Beer,BEER,5111
1121,Dues and Subscriptions,OTHER,6550
3707020,Due to/from Hillhurst,OTHER,1710
815363,Equipment Rental,OTHER,6110
1071,Florals,OTHER,6132
92174,FOH Admin,LABOR,5215
2701020,FOH - Bar Flores,LABOR,5201
2701024,FOH - Donna's,LABOR,5203
92175,FOH Janitorial,LABOR,5210
92176,FOH Labor,LABOR,5205
2701026,FOH - Lowboy,LABOR,5202
92173,FOH Management,LABOR,6100
2701019,FOH - To Go Window,LABOR,5204
1119,Fuel,OTHER,6725
1113,Glassware,OTHER,6165
1059,Grocery,FOOD,5104
4163,Keg Deposits,BEER,1805
14815675,Kitchen Machinery & Equipment,OTHER,1515
1168,Kitchen Smallwares,OTHER,6150
1166,"Laundry, Linens, & Uniforms",OTHER,6135
1077,Legal,OTHER,6520
1087,Liability Insurance,OTHER,6590
1175,License & Permits,OTHER,6570
1101,Liquor,LIQUOR,5115
1073,Marketing & Promotions,OTHER,6257
1141,Meals & Entertainment,OTHER,6710
1097,Meat & Poultry,FOOD,5101
1170,Music & DJ,OTHER,6305
1053,Non-alcoholic,NA_BEVERAGES,5125
1079,Office Supplies,OTHER,6575
3361,Operating Supplies,OTHER,6574
1135,"Packaging, COGS",OTHER,5135
1103,Packaging Supplies,OTHER,6118
1164,Parking,OTHER,6720
1091,Pest Control,OTHER,6820
1177,Phone and Internet,OTHER,6605
1083,Postage & Shipping,OTHER,6585
1067,Produce,FOOD,5103
1139,Propane,OTHER,7150
47844,Property/RE Tax,OTHER,7115
1127,Rent/Lease,OTHER,7105
1143,"Repair & Maintenance, Equipment",OTHER,6810
1089,"Repair & Maintenance, Facility",OTHER,6815
1111,Research & Development,OTHER,6450
1057,Retail,OTHER,5130
1151,Seafood,FOOD,5102
1117,Security,OTHER,6610
1133,"Shipping, Freight and Delivery",OTHER,5195
1109,Small Bar Equipment,OTHER,6145
1115,Small Computer Equipment & Supplies,OTHER,6535
1065,Small Kitchen Equipment,OTHER,6140
365017,Software Subscriptions,OTHER,6537
1085,"Stationary, Printing & Reproduction",OTHER,6580
1129,Storage,OTHER,7145
1107,Tableware,OTHER,6160
1105,Training,OTHER,5355
1180,Travel,OTHER,6705
1186,Utilities - Telephone / Internet,OTHER,6605
1179,"Utility, Electricity",OTHER,7125
1145,"Utility, Gas",OTHER,7130
1147,"Utility, Trash Removal",OTHER,7135
1125,"Utility, Water & Sewage",OTHER,7140
1153,Wine,WINE,5120
