companyConceptProductId,centralProductId,productName,categories,itemCount,taxExempt,reportByUnit,latestPrice
667576416,null,"3X5 Mat, Black","[{'categoryId': '1166', 'percentAllocation': 100.0}]",0,False,Each,4.86
747907301,null,3Yd Fl Trash,"[{'categoryId': '1147', 'percentAllocation': 100.0}]",0,False,Other,465.77
667588655,null,40X46 1.4Mil Blk Liner,"[{'categoryId': '4166', 'percentAllocation': 100.0}]",1,False,100 Each,29.75
1004800203,null,40x46 Blk 1.5Mil Trash,"[{'categoryId': '4166', 'percentAllocation': 100.0}]",0,False,100 Each,27.5
763639680,null,44 Gallon Grey Round Waste Carlisle,"[{'categoryId': '1137', 'percentAllocation': 100.0}]",0,False,Each,58.32
1057781592,null,4 x 4 Glass Rack Base,"[{'categoryId': '1168', 'percentAllocation': 100.0}]",0,False,Each,38.25
722921927,null,50 # Party Cubes,"[{'categoryId': '3361', 'percentAllocation': 100.0}]",0,False,Pound,0.42
705617301,null,55 CF Nitrogen Refill [Tx],"[{'categoryId': '1053', 'percentAllocation': 100.0}]",1,False,Each,57.0
970374569,null,"56"" Pro Aluminium Taper Hand Unger","[{'categoryId': '1137', 'percentAllocation': 100.0}]",0,False,Each,28.4
1086178052,null,5inElement Bowl - IN MAT TE RED,"[{'categoryId': '1107', 'percentAllocation': 100.0}]",0,False,24 Each,212.0
1039279350,null,5x5 Glass Rack,"[{'categoryId': '1168', 'percentAllocation': 100.0}]",0,False,Each,38.25
1057781539,null,5x5 Glass Rack Base With 3 Risers,"[{'categoryId': '1168', 'percentAllocation': 100.0}]",0,False,Each,93.0
1041432871,null,5X5 Riser,"[{'categoryId': '1137', 'percentAllocation': 100.0}]",0,False,Each,18.25
1079179328,null,6x6 Glass Rack,"[{'categoryId': '1168', 'percentAllocation': 100.0}]",0,False,Each,38.25
1004800392,null,86 Scouring Pad Grn 6X9 10PCS/2Pk,"[{'categoryId': '1137', 'percentAllocation': 100.0}]",0,False,36 Each,12.0
781993205,null,"Abalone, Live","[{'categoryId': '1151', 'percentAllocation': 100.0}]",0,False,Each,13.85
902492215,607173356,Abasolo Corn Alma Tierra Whisky,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",1,False,Bottle (750 Milliliters),31.67
1072654274,null,Acacia Gum Powdeer,"[{'categoryId': '1099', 'percentAllocation': 100.0}]",0,False,454 Grams,20.89
747907295,null,Access Fee Organics,"[{'categoryId': '1147', 'percentAllocation': 100.0}]",0,False,Other,62.01
747907277,null,Access Fee Trash,"[{'categoryId': '1147', 'percentAllocation': 100.0}]",0,False,Other,310.08
747907287,null,Acess Fee Recycle,"[{'categoryId': '1147', 'percentAllocation': 100.0}]",0,False,Other,310.08
669972743,null,Acopa Neat Glasses 5oz,"[{'categoryId': '1113', 'percentAllocation': 100.0}]",0,False,Each,1.98
669973047,null,Acopa Pangea 13oz Wine Glasses,"[{'categoryId': '1113', 'percentAllocation': 100.0}]",0,False,Case,4.25
956037414,null,Acronimo Gin,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (700 Milliliters),30.49
1101585497,null,"ADA Series Freezer, unde rcounter, 23-7/8""W x 24","[{'categoryId': '1065', 'percentAllocation': 100.0}]",0,False,Each,4183.69
1052345086,null,Add a Faucet for Dirty Dish Table Vendor Item,"[{'categoryId': '1143', 'percentAllocation': 100.0}]",0,False,Each,125.0
687961175,null,Additional Service Hourly 2.5 Hours- Aero Collective,"[{'categoryId': '1869031', 'percentAllocation': 100.0}]",1,False,Other,525.0
708049491,null,Additional Service Hourly- Aero Collective,"[{'categoryId': '1089', 'percentAllocation': 100.0}]",0,False,Other,1880.0
696469974,null,Additional Tablet Monthly Software Subscription - Toast Inc,"[{'categoryId': '365017', 'percentAllocation': 100.0}]",1,False,Other,50.0
790875614,null,Additional Tablet Monthly Software Subscription -Toast Inc.,"[{'categoryId': '365017', 'percentAllocation': 100.0}]",0,False,Other,45.0
1097779378,null,"Adjustable Legs 4""-5""","[{'categoryId': '1143', 'percentAllocation': 100.0}]",0,False,Each,253.11
714711109,null,Advil Ipuprofen Tablets,"[{'categoryId': '1079', 'percentAllocation': 100.0}]",0,False,50 Each,21.33
681896133,607173507,Aelred Melonade Aperitif,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",1,False,Bottle (700 Milliliters),20.0
1021235752,1385,Agar Agar,"[{'categoryId': '1059', 'percentAllocation': 100.0}]",0,False,Pound,139.8
